Vendor_ID,Vendor_Name,Quality_Score,Delivery_Time_Days,Cost_Score,Payment_Terms,Region,Performance_Score
V054,Vendor 54,9.053446153848839,10.190738149532052,9.157189465852625,Net 60,West,8.955022762086005
V055,Vendor 55,6.381099809299767,5.915289653896682,2.000777340755362,Net 90,East,6.592277665379671
V056,Vendor 56,9.296868115208051,17.147236611292154,5.433625938617732,Net 90,East,6.710889144884366
V057,Vendor 57,1.7964325184672756,28.148488450662647,1.1021828029067717,Net 30,North,1.6299369969908453
V058,Vendor 58,2.763845761772307,21.184864103574217,5.217945777947136,Net 60,North,2.0559120497328562
V059,Vendor 59,1.4070456001948426,17.531773932591584,1.5067294811365362,Net 60,West,3.175718322272471
V060,Vendor 60,3.927972976869379,3.8181183193522874,2.0693612464126474,Net 60,South,4.811144769339
V061,Vendor 61,4.498095607205338,18.835209574275922,2.057736220993944,Net 90,East,3.2543510698548266
V062,Vendor 62,3.442141285965063,29.711561653023637,6.842892719044572,Net 90,East,4.167502247325971
V063,Vendor 63,8.458637582367365,5.062436441859197,7.71440391338881,Net 90,West,7.5616122391327645
V064,Vendor 64,4.210779940242304,16.031559918548368,6.250318885874437,Net 30,North,3.343836459077643
V065,Vendor 65,3.5284105871864266,26.443819085910707,9.659552936270877,Net 90,South,2.495104798732415
V066,Vendor 66,5.884264748424236,22.482289914871927,4.373835215713337,Net 30,North,5.174680377213233
V067,Vendor 67,2.2683180247728636,21.21345648886277,3.571408776536747,Net 60,North,1.4466657663112206
V068,Vendor 68,8.219772826786357,21.37203843562617,8.817392153705143,Net 90,North,8.490955182555956
V069,Vendor 69,1.6709557931179373,11.4252433853729,3.0123625466750736,Net 30,North,1.213496659472971
V070,Vendor 70,9.881982429404655,9.514163483670307,9.669002854965502,Net 30,East,10.0
V071,Vendor 71,7.9502029236699165,24.471473508876894,1.109390272208347,Net 90,East,4.9608496325915565
V072,Vendor 72,2.7884411338075514,24.49328844569624,9.728909440368751,Net 60,North,3.7939604985375097
V073,Vendor 73,1.0496990541124216,26.145097238823006,1.388439207555185,Net 60,South,1.0
V074,Vendor 74,8.339152856093508,27.483976024137668,9.02028802328264,Net 60,West,6.624372544641586
V075,Vendor 75,7.361716094628554,15.828929566967195,5.749309981776698,Net 30,South,6.210192384548049
V076,Vendor 76,7.561064512368886,15.543972545928789,9.936683165073703,Net 30,South,8.316773516622828
V077,Vendor 77,7.941433120173512,24.15056019003648,1.6641690826185898,Net 30,South,5.002722006268866
V078,Vendor 78,1.6664018656068134,19.848953992555188,5.984688559611887,Net 30,North,3.1955450069321425
V079,Vendor 79,4.226191556898454,21.357039440473397,9.72372282057189,Net 60,East,4.558524186302409
V080,Vendor 80,2.0428215357261674,24.07798741364693,5.707880597531339,Net 90,South,2.6982425222835915
V081,Vendor 81,8.767930832880342,26.81015491270942,6.664587743217362,Net 30,North,6.3436692427047605
V082,Vendor 82,6.609683141448022,10.801859548694539,7.261738200861554,Net 30,South,4.966834863370242
V083,Vendor 83,3.9780822236738427,11.891905626558376,5.090869582909959,Net 60,South,3.4698390436573634
V084,Vendor 84,1.5720251525742128,3.725476255385201,6.648022720756571,Net 90,North,5.486333588922615
V085,Vendor 85,3.79884089544096,17.770124088889045,6.258828807307902,Net 90,East,4.545039238421098
V086,Vendor 86,3.9266498982407234,2.0423259401055205,9.110422094418901,Net 60,East,6.397193437640911
V087,Vendor 87,7.566455605042576,14.502342525841344,1.409017423073121,Net 60,West,5.6332309676171715
V088,Vendor 88,6.738017242196918,16.736694406519725,3.528668706330073,Net 90,North,5.748654627074172
V089,Vendor 89,8.98491468318694,9.309696311720248,9.553703356689029,Net 30,West,7.932468701449889
V090,Vendor 90,5.249934326457543,18.13416455650131,9.012374055018247,Net 90,West,4.835720793179978
V091,Vendor 91,2.0763482134447155,1.8845072482324334,5.100910775071417,Net 60,West,5.06575079201108
V092,Vendor 92,7.419203085006955,2.083097473727218,6.581193380213831,Net 30,East,6.839157693558489
V093,Vendor 93,7.847065437552077,24.855416259130088,3.496430646830194,Net 30,North,5.54552997794354
V094,Vendor 94,6.051494778125466,11.445528600926623,2.6930904375138516,Net 60,West,3.7172290122350007
V095,Vendor 95,7.938704619591049,4.684754866904658,5.173285644459839,Net 60,North,8.564689589322672
V096,Vendor 96,5.444160367279517,16.145054541589325,4.180170052234475,Net 60,North,5.416206222340764
V097,Vendor 97,5.704595464437946,23.329813039859715,6.252905006657849,Net 90,East,5.025927163878446
V098,Vendor 98,4.847869165226946,7.2588097974084524,1.6996117326848634,Net 90,West,6.020666933355114
V099,Vendor 99,1.2287721406968566,19.063823798751006,9.769553268995498,Net 30,West,5.3273887887350035
V100,Vendor 100,1.97102284293974,3.475076484819272,9.875896700316426,Net 60,North,6.627553178069359
V101,Vendor 101,1.2828626711806081,2.4987699138896233,7.2834554261777065,Net 30,South,3.0073711981052376
V102,Vendor 102,6.727693701374023,16.40928431547629,5.824867297097083,Net 30,East,4.608314911823098
V103,Vendor 103,3.82920382968694,16.67841852669309,3.78574854657695,Net 30,East,3.379091193793873
V104,Vendor 104,5.577136220482325,19.48546714344799,8.324155177362538,Net 30,East,5.530943481579706
V105,Vendor 105,9.168098265334837,22.056648677957185,7.162580552984913,Net 60,East,7.328559395937807
V106,Vendor 106,3.2436300623398746,29.299710304413505,2.463552454104022,Net 30,West,1.4588106783959258
V107,Vendor 107,4.693446307320667,15.972710100734664,9.198344660444583,Net 60,West,5.775887840152862
V108,Vendor 108,7.799960246887438,10.365737715296133,8.402835186308522,Net 60,South,6.7885904568224875
V109,Vendor 109,3.059183489424602,24.060399648292407,9.548199219627316,Net 90,East,3.4216738208165753
V110,Vendor 110,1.6928191884591368,8.854135286600153,7.531475575495239,Net 60,East,3.060630083820378
V111,Vendor 111,3.6077630762239123,13.730171200463447,6.520736763422109,Net 90,North,3.8117785246391285
V112,Vendor 112,2.4509915852860398,3.2752350589257127,4.76418732661557,Net 60,West,3.499125146457229
V113,Vendor 113,9.367278871083158,1.735171559048268,9.39455635018612,Net 60,East,8.413160296696644
V114,Vendor 114,8.273083416079754,28.916804025659825,8.794575005503674,Net 60,South,7.057418103182469
V115,Vendor 115,6.700633808593811,25.243423494853968,1.4069680309557047,Net 90,South,3.1579692721707064
V116,Vendor 116,8.84314531168946,21.18325197671724,1.2373027704752682,Net 90,West,8.18309007710545
V117,Vendor 117,8.23304869209203,12.859635388013826,4.388170301902447,Net 30,South,7.20151276850601
V118,Vendor 118,2.6791305299743224,6.025535282054528,8.294979977036496,Net 90,South,5.580843855883881
V119,Vendor 119,9.0330309864098,5.5366742374614955,9.8854851638345,Net 90,West,8.081587322044436
V120,Vendor 120,5.854080177240856,8.257044046773265,2.3537520199317536,Net 90,East,6.272395967338444
V121,Vendor 121,8.266961396476564,16.927573276477496,6.347176438169216,Net 90,East,6.134520831986602
V122,Vendor 122,9.06482169931144,21.72328175830181,4.428017709679194,Net 30,South,6.367696030406739
V123,Vendor 123,3.8620312747467747,20.145723924814206,9.72922958033143,Net 90,South,7.422373699227046
V124,Vendor 124,1.9904673207490908,9.118083011432342,8.579070308221379,Net 60,East,4.703179521150937
V125,Vendor 125,3.051416462877475,28.691093139232628,8.54495834240024,Net 60,West,4.514863912281199
V126,Vendor 126,4.843970097636307,22.399010584177287,5.218238438154732,Net 90,South,3.5225552529054838
V127,Vendor 127,8.362132893302437,17.07626752283062,4.733375521038987,Net 90,North,6.385126308078992
V128,Vendor 128,8.74657524930709,18.739901640796216,3.4606636473763563,Net 60,West,7.9622308256847045
V129,Vendor 129,1.0625691747807164,13.168401810405907,1.507379469858344,Net 60,South,1.888953242533669
V130,Vendor 130,5.596725723198092,8.184198695533567,8.782501386295479,Net 30,South,8.548891827301714
V131,Vendor 131,4.7566990283390105,11.323207680886586,8.316109082170698,Net 60,North,6.617002497970462
V132,Vendor 132,2.9989702942365724,22.977537203466703,9.997459059575176,Net 60,North,3.638756462792384
V133,Vendor 133,2.0787883060031453,1.4174111702629202,9.969731533665149,Net 90,East,6.5240070817638305
V134,Vendor 134,4.038536542632651,4.366106574700571,5.998885350423647,Net 60,West,6.754989133557729
V135,Vendor 135,9.486187335212673,2.3340766186308297,7.9208867366245945,Net 30,West,9.715673315285368
V136,Vendor 136,3.908826388186797,2.181135267250134,9.502891568941852,Net 60,East,5.066653261266298
V137,Vendor 137,5.669115595690295,25.80835693631921,8.646826516096702,Net 90,West,4.255950231607699
V138,Vendor 138,7.3271706300566,21.406077922020685,3.226132915688779,Net 90,West,4.920685470412482
V139,Vendor 139,4.272666421413646,14.75104104353243,5.054897217790842,Net 60,West,4.597775120811702
V140,Vendor 140,9.746038744488645,3.837190658879043,2.162434736363455,Net 90,West,8.542459351179788
V141,Vendor 141,9.662025654479,15.256860378388138,9.586459245328502,Net 30,West,8.40031963939964
V142,Vendor 142,3.2660406624282774,14.730681352636404,6.455571710057921,Net 30,North,3.1157221792519816
V143,Vendor 143,5.475236553031469,6.02285422739044,3.0577852495311646,Net 60,West,6.127087754688887
V144,Vendor 144,3.707904788350927,13.581697827901218,7.045306159652711,Net 60,North,5.515429588599707
V145,Vendor 145,3.5635644493972087,12.55663729752383,6.5631541641210625,Net 60,West,5.398539775701474
V146,Vendor 146,1.3319825261907952,18.859652843514276,4.223464462295564,Net 90,East,3.7054995967577042
V147,Vendor 147,6.486079005819072,19.41771587516167,2.022018329796661,Net 30,South,5.539593735901605
V148,Vendor 148,5.524111209059753,2.313816283389291,7.044158760335196,Net 30,North,7.398685807486423
V149,Vendor 149,1.463308761249904,11.863765824167665,5.68276930813414,Net 90,West,3.6116659483763662
V150,Vendor 150,3.507818178129503,19.149937555712857,7.950865525620754,Net 30,East,2.7681275051016256
V151,Vendor 151,9.174392973699883,15.590951498822543,5.68147151000794,Net 60,South,7.594013858101861
V152,Vendor 152,3.1560570160027517,25.838205394461347,8.669633502866862,Net 60,North,3.935822356291725
V153,Vendor 153,2.304053848821008,20.102115316949405,5.9671615489703695,Net 60,South,3.606826539705011
V154,Vendor 154,5.405074842498067,5.725098385361461,6.0484417438184765,Net 30,East,5.062967355656274
V155,Vendor 155,9.870854086995406,3.0464936746124653,8.889882423925105,Net 60,North,8.327697620413215
V156,Vendor 156,3.178497443603504,19.630159067983154,4.631345795911574,Net 90,South,4.605654827518655
V157,Vendor 157,7.049219926652907,1.7688280057070327,2.2061370560557667,Net 90,West,6.749399420110247
V158,Vendor 158,7.854576537958458,17.987491856930436,1.2590440868200508,Net 30,North,6.061848598022819
V159,Vendor 159,3.1387378959315972,28.26667700132377,7.796235301062571,Net 90,South,3.330266684176397
V160,Vendor 160,7.553947137506736,17.68875115840049,6.582785962181182,Net 90,East,6.354411784845301
V161,Vendor 161,4.3100481944732785,12.256927859989135,7.336717912893012,Net 30,East,6.334958699792326
V162,Vendor 162,6.690752475342215,19.655358334828243,2.9166774535801965,Net 60,North,4.447131166686949
V163,Vendor 163,6.7017673968480524,14.289333824253982,2.2273432802809277,Net 60,South,5.463539748995798
V164,Vendor 164,5.821972156672826,16.822886890162113,1.1309019910109375,Net 60,North,3.9926024988173467
V165,Vendor 165,1.8126079304896747,28.30247945451923,4.155288029259372,Net 30,North,1.4726173982124735
V166,Vendor 166,8.51772246030314,12.196976496222453,6.309259181691698,Net 90,South,6.991843293399025
V167,Vendor 167,3.8870205847456223,28.87452635089351,4.530196405897591,Net 60,South,3.1842307100966916
V168,Vendor 168,2.678666593598688,27.255168616725847,4.937274298213562,Net 60,West,2.122522673105994
V169,Vendor 169,1.3669762739928752,6.677942908889596,9.137428250443735,Net 30,South,6.098935621769746
V170,Vendor 170,6.318036488694176,3.011477725379798,4.134299203209704,Net 60,East,5.790123010231544
V171,Vendor 171,7.098079256580542,3.922562039945373,5.625905402438297,Net 30,North,7.095092860622033
V172,Vendor 172,1.1492904603507053,1.5284329438949422,8.052877114670288,Net 90,North,4.592646300445741
V173,Vendor 173,5.608837524693529,3.7388458619219236,4.568885040891431,Net 30,East,7.7912890686865905
V174,Vendor 174,3.0384619767814414,20.80719642907435,6.598780302050861,Net 30,South,3.954822182405033
V175,Vendor 175,6.806555113685048,3.0644708053466405,8.761273378720706,Net 30,East,8.880929691520636
V176,Vendor 176,2.569297861044923,10.250293278519077,9.54568561291878,Net 30,East,3.683196352217338
V177,Vendor 177,7.218439642922194,25.501384018114184,2.323661328361341,Net 90,West,4.790863951191206
V178,Vendor 178,4.480618116704837,1.6748861363389502,9.339288626453449,Net 90,East,7.830308965632651
V179,Vendor 179,9.43056989863061,24.619585995079138,5.429046637715844,Net 60,North,6.421419666625985
V180,Vendor 180,2.2376884973139393,9.173788468428597,3.324199494690625,Net 90,East,4.931785675817586
V181,Vendor 181,4.069597159452327,4.426780001028032,5.132221806144352,Net 90,North,5.101276490751859
V182,Vendor 182,2.021261691165302,21.20537779556037,9.820293177569294,Net 60,North,5.263499141726053
V183,Vendor 183,9.322242564507064,19.239342556616634,5.4335628459358265,Net 90,North,9.122797719398282
V184,Vendor 184,8.896054180428829,26.446688392284535,3.958764492587574,Net 30,South,5.232272589063816
V185,Vendor 185,3.3214746494364005,22.317060270312687,6.700607688850532,Net 30,West,3.323650314056266
V186,Vendor 186,6.939856414307611,24.30094698116061,3.1613105690037377,Net 60,North,6.125480099956193
V187,Vendor 187,8.354999801810942,9.179002604567888,1.6827699529779752,Net 60,North,8.17572577677499
V188,Vendor 188,5.996807304395161,6.145746769611962,2.159917497195843,Net 60,South,5.292952447522284
V189,Vendor 189,5.766855205204059,22.767827797584893,2.152412550619952,Net 30,North,3.6169405158716734
V190,Vendor 190,3.1766706181040654,24.398207438750656,2.3671242416106493,Net 90,East,2.3401548046385896
V191,Vendor 191,1.837924910253093,29.724649118019524,2.2494445538446914,Net 30,East,1.0
V192,Vendor 192,9.074941821579941,12.965912630431369,6.767872703228932,Net 60,West,6.675802241908421
V193,Vendor 193,9.103762514469974,11.788524487990712,2.6369207595923037,Net 90,North,5.896272193602309
V194,Vendor 194,6.697913115459412,23.51597586151791,4.111005549914768,Net 90,South,4.05176251645674
V195,Vendor 195,4.051268119438307,10.883302667337517,9.071095689154106,Net 30,East,5.7168380434294415
V196,Vendor 196,4.142886171513948,27.991962442503375,5.265654762365851,Net 60,South,3.5595925265163277
V197,Vendor 197,7.533601109832154,25.89396980344734,7.008019646689244,Net 30,South,7.129507996723269
V198,Vendor 198,9.073992339573193,13.440826793875532,2.5508788408146685,Net 90,East,5.7047352178231865
V199,Vendor 199,8.983777818386056,22.775260965953425,2.730601169278037,Net 30,South,6.744805444929877
V200,Vendor 200,8.018879912718614,22.88174334845579,1.3678175463983098,Net 30,East,4.780840286567881
